0	669015.4527990205	6596.562574615086
1	43777.48859523719	3446.81397363535
2	35718.404428548085	2736.9010717392516
3	43325.55255817838	2561.818108564446
4	68569.96131082339	2255.8091690063156
5	108062.41717255041	1897.0
6	163772.05068613752	1412.9986310473007
7	3391363.8817177354	1412.9986310473007
8	3604746.1699297973	950.1458969173037
9	1.3096645426543606E7	950.1458969173037
10	2.1635444520928312E7	448.1200454893309
11	2.5619610590731125E9	448.1200454893309
12	6.214575279908832E7	151.60669358675588
13	1.7567417132951294E10	59.67654235788643
14	8.795318857786051E8	59.67654235788643
15	2.2513079147108105E8	59.67654235788643
16	5.117858963745154E8	59.67654235788643
0	128157.11731292734	2074.591556616895
1	43591.29878361024	2074.591556616895
2	33102.246596070836	1205.2920882796761
3	36372.70747948869	1205.2920882796761
4	50503.685731378115	1205.2920882796761
5	72943.19033696709	1205.2920882796761
6	112058.085951609	539.3236786763738
7	1.3308370767718555E7	539.3236786763738
8	1.96792622227054E7	539.3236786763738
0	1014365.9385753882	8293.56333518225
1	64081.87434760341	2009.4730775426683
2	52973.57585507235	1971.4730775426683
3	42772.89302302786	1897.0000000000002
4	70849.22941765128	1698.5475149867493
5	155566.38857568792	1192.4598334398615
6	225653.80353055923	1192.4598334398615
7	1.2258306282906523E8	1179.2373017976215
8	1.7224199628479907E8	1045.9460252926058
9	9702590.607632384	548.565703912333
0	175496.59952409752	12777.454774875503
1	56965.47803300447	4782.6931406496515
2	36623.362807945465	1782.56504405337
3	41209.679281567835	1782.56504405337
4	60209.55333673662	1657.5242334487632
5	77913.44448811389	1495.037338427177
6	129410.32100741385	1277.1494491434958
7	289663.5529171429	1199.8922038986557
8	147300.07624949858	716.7067987038067
0	1233805.2369893542	10887.75947898599
1	369784.4475448765	10887.75947898599
2	38697.38386005663	4104.6936790064665
3	47025.04943361795	2116.0456228954117
4	72877.3572134228	1688.7388298588123
5	122176.18445807425	1582.850396714454
6	258510.9891630719	1564.9816079513726
7	737529.0017244405	719.3130255453375
8	1479214.3132987993	685.6636129873667
9	4.391056119979473E7	597.1907567055964
10	3.924294516455792E7	597.1907567055964
11	6111423.902731249	383.8670277844166
12	1.0163036058228835E8	253.09803112907957
13	1.4268725424970534E8	253.09803112907957
14	1.2867315063055515E7	253.0980267345246
15	1.1220625616493979E9	211.21050907204275
16	5.730369056741135E8	211.21050907204275
17	5.796516411010384E9	201.66189998183881
18	5.546750315838141E11	170.62705398190107
19	5.479345211874019E11	114.21397145810283
0	92949.89024182812	7385.3469180715665
1	43249.69830966977	6234.158842216637
2	31819.479227873577	4402.585148116283
3	37377.89371548843	1376.8076562944464
4	52530.67713174369	989.6326322186272
5	82660.94347573955	342.78952146937456
6	158968.83721896342	342.78952146937456
7	168766.40606065007	332.7778050185387
8	383195.57217597443	332.7778050185387
